name	id	coaching_history	current_team_head_coached
Jim L. Mora	/guid/9202a8c04000641f80000000005faaf7	/guid/9202a8c04000641f8000000009c7871d	Seattle Seahawks
Jim Caldwell	/guid/9202a8c04000641f8000000000a8332a		
Ray Rhodes	/guid/9202a8c04000641f80000000004c7c7f	/guid/9202a8c04000641f8000000009c77663,/guid/9202a8c04000641f8000000009c7787c	
Sam Wyche	/guid/9202a8c04000641f80000000004a70d1	/guid/9202a8c04000641f8000000009c77c5a	
Charles Lantz	/guid/9202a8c04000641f8000000006f7bb69		
Paul Rhoads	/guid/9202a8c04000641f8000000007324b4d		
Ion Cortright	/guid/9202a8c04000641f8000000006eb4d2a		
Randy Fichtner	/guid/9202a8c04000641f8000000006c0f802		
Aldo Donelli	/guid/9202a8c04000641f8000000000e87d55	/guid/9202a8c04000641f8000000009c77dd5,/guid/9202a8c04000641f8000000009cdc8e3	
Marty Mornhinweg	/guid/9202a8c04000641f80000000007fe795	/guid/9202a8c04000641f8000000009c78289	
Fran Curci	/guid/9202a8c04000641f8000000000d57729		
Pete Elliott	/guid/9202a8c04000641f8000000000e26b54		
Harry G. Kipke	/guid/9202a8c04000641f8000000000d21196		
Jethro Franklin	/guid/9202a8c04000641f8000000000a24ce9		
Ted Cox	/guid/9202a8c04000641f8000000004640ad2		
Jeff Reinebold	/guid/9202a8c04000641f8000000005bf6375		
Marc Trestman	/guid/9202a8c04000641f8000000004802ff1		
James Kitts	/guid/9202a8c04000641f80000000047265db		
T.A. Dwight Jones	/guid/9202a8c04000641f800000000465c835		
Wayne Nunnely	/guid/9202a8c04000641f80000000047f0709		
Tommy O'Boyle	/guid/9202a8c04000641f8000000004738adc		
Bob Titchenal	/guid/9202a8c04000641f80000000047458a9		
Sam Barry	/guid/9202a8c04000641f8000000000309714		
Brad Childress	/guid/9202a8c04000641f80000000009b9cae		Minnesota Vikings
Bronco Mendenhall	/guid/9202a8c04000641f8000000000d6dbf4		
Jim Grobe	/guid/9202a8c04000641f800000000092601f		
Paul Brown	/guid/9202a8c04000641f8000000000278c07		
Lovie Smith	/guid/9202a8c04000641f80000000006eeb72		Chicago Bears
Ray Eliot	/guid/9202a8c04000641f800000000080bf32		
Larry Wilson	/guid/9202a8c04000641f8000000000538ace	/guid/9202a8c04000641f8000000009c77ad5	
Bob Ward	/guid/9202a8c04000641f8000000000cc9e8a		
Bill Hollenback	/guid/9202a8c04000641f8000000000d6dabc		
Darrell Mudra	/guid/9202a8c04000641f8000000000b2948f		
Jerry Burns	/guid/9202a8c04000641f800000000052ef1e	/guid/9202a8c04000641f8000000009c7773a	
Lindy Infante	/guid/9202a8c04000641f8000000000836455	/guid/9202a8c04000641f8000000009c77874	
Jim Thorpe	/guid/9202a8c04000641f8000000000068bcb		
Stanley A. Boles	/guid/9202a8c04000641f8000000000ee6ba9		
Roy Shivers	/guid/9202a8c04000641f8000000000d4c411		
Bob Pruett	/guid/9202a8c04000641f8000000006b1de12		
Hobbs Adams	/guid/9202a8c04000641f8000000006edf841		
Phil Danaher	/guid/9202a8c04000641f8000000006af54ba		
Scott Shafer	/guid/9202a8c04000641f8000000007322652		
Denver Johnson	/guid/9202a8c04000641f8000000006ec6605		
Elvan George	/guid/9202a8c04000641f8000000006c429fb		
Morgan Hout	/guid/9202a8c04000641f800000000765cf6c		
Greg McMackin	/guid/9202a8c04000641f8000000006f86632		
Pete McCulley	/guid/9202a8c04000641f8000000006b35522	/guid/9202a8c04000641f8000000009c78917	
D.M. Balliet	/guid/9202a8c04000641f8000000006c3f7b1		
Bruce Coslet	/guid/9202a8c04000641f800000000080071a	/guid/9202a8c04000641f8000000009cdc4a9	
Steve Fairchild	/guid/9202a8c04000641f8000000000a82f5e		
Mike Singletary	/guid/9202a8c04000641f80000000004c7d3a		San Francisco 49ers
Bill Belichick	/guid/9202a8c04000641f80000000002fb707		New England Patriots
Ray Graves	/guid/9202a8c04000641f80000000008db4ea		
Raymond Berry	/guid/9202a8c04000641f8000000000211233		
Glenn Presnell	/guid/9202a8c04000641f80000000003dfcb0		
Randy Shannon	/guid/9202a8c04000641f80000000008aec1a		
Tom Cable	/guid/9202a8c04000641f80000000047253b5		Oakland Raiders
Joe Lee Dunn	/guid/9202a8c04000641f8000000004745867		
Bo Pelini	/guid/9202a8c04000641f80000000046981b3		
Dave McGinnis	/guid/9202a8c04000641f80000000007fe9c6	/guid/9202a8c04000641f8000000009c77af1	
Bill Mallory	/guid/9202a8c04000641f800000000076f24e		
Bump Elliott	/guid/9202a8c04000641f80000000008b972f		
Tommy Hudspeth	/guid/9202a8c04000641f8000000000acd919	/guid/9202a8c04000641f8000000009c78271	
Willie Totten	/guid/9202a8c04000641f8000000000a1d65a		
Ellis Rainsberger	/guid/9202a8c04000641f8000000000d79176		
Lloyd Eaton	/guid/9202a8c04000641f8000000000d46cde		
Dale Lennon	/guid/9202a8c04000641f8000000000a433f8		
Bill Arnsparger	/guid/9202a8c04000641f8000000000a91c17	/guid/9202a8c04000641f8000000009c78072	
Roy Lester	/guid/9202a8c04000641f8000000000cc9e53		
Jim Lind	/guid/9202a8c04000641f80000000011c83c8		
Lewie Hardage	/guid/9202a8c04000641f800000000473b1b8		
Dana X. Bible	/guid/9202a8c04000641f800000000463c775		
Gus Malzahn	/guid/9202a8c04000641f80000000047d1e26		
Chip Beake	/guid/9202a8c04000641f80000000056651c3		
Ken Zampese	/guid/9202a8c04000641f800000000467af70		
Charlie Taaffe	/guid/9202a8c04000641f80000000055e1ef4		
Jess Neely	/guid/9202a8c04000641f800000000465c7e8		
Shawn Slocum	/guid/9202a8c04000641f80000000047f6589		
Carl M. Voyles	/guid/9202a8c04000641f800000000474781b		
Ryan Nielsen	/guid/9202a8c04000641f80000000046d2437		
Skip Peete	/guid/9202a8c04000641f80000000055bf8e3		
Jeff Genyk	/guid/9202a8c04000641f800000000474089e		
Gene Stallings	/guid/9202a8c04000641f800000000050c7ed	/guid/9202a8c04000641f8000000009c77add	
Ted Roof	/guid/9202a8c04000641f800000000073e04e		
Rocky Long	/guid/9202a8c04000641f800000000073ae53		
Larry Smith	/guid/9202a8c04000641f8000000000d21816		
Greg Schiano	/guid/9202a8c04000641f8000000000b34b2f		
Steve Owen	/guid/9202a8c04000641f8000000000b7070a	/guid/9202a8c04000641f8000000009c78062	
Bob Babich	/guid/9202a8c04000641f8000000000b983bf		
Sam Anno	/guid/9202a8c04000641f8000000000a24d86		
Gary Darnell	/guid/9202a8c04000641f80000000008d50af		
Warren B. Woodson	/guid/9202a8c04000641f80000000011c0f1a		
